Timestamp,gyro.xRaw,gyro.yRaw,gyro.zRaw,motor.m1,motor.m3,pm.vbat
7572469,2051,-212,-12903,42000,42000,3.9536657333374023
7572479,2196,-677,-12962,42000,42000,3.9536657333374023
7572489,2291,-1046,-13051,42000,42000,3.9483871459960938
7572499,2312,-1333,-13162,42000,42000,3.9536657333374023
7572509,2329,-1716,-13271,42000,42000,3.9536657333374023
7572519,2293,-2167,-13346,42000,42000,3.9536657333374023
7572529,2151,-2447,-13479,42000,42000,3.9536657333374023
7572539,1972,-2774,-13596,42000,42000,3.9483871459960938
7572549,1729,-3172,-13659,42000,42000,3.9483871459960938
7572559,1390,-3328,-13787,42000,42000,3.9536657333374023
7572569,1084,-3651,-13903,42000,42000,3.9483871459960938
7572579,720,-3833,-13978,42000,42000,3.9483871459960938
7572589,418,-3997,-14109,42000,42000,3.9483871459960938
7572599,227,-4234,-14193,42000,42000,3.9483871459960938
7572609,55,-4294,-14338,42000,42000,3.9483871459960938
7572619,-41,-4440,-14431,42000,42000,3.9483871459960938
7572629,-180,-4493,-14556,42000,42000,3.9536657333374023
7572639,-380,-4512,-14692,42000,42000,3.9536657333374023
7572649,-605,-4626,-14764,42000,42000,3.9483871459960938
7572659,-950,-4530,-14904,42000,42000,3.9483871459960938
7572669,-1348,-4447,-15000,42000,42000,3.9483871459960938
7572679,-1715,-4425,-15122,42000,42000,3.9483871459960938
7572689,-2107,-4219,-15221,42000,42000,3.9483871459960938
7572699,-2502,-4001,-15350,42000,42000,3.9483871459960938
7572709,-2846,-3870,-15455,42000,42000,3.9483871459960938
7572719,-3217,-3604,-15554,42000,42000,3.9483871459960938
7572729,-3587,-3250,-15691,42000,42000,3.9483871459960938
7572739,-3841,-3025,-15808,42000,42000,3.9483871459960938
7572749,-4065,-2661,-15935,42000,42000,3.9483871459960938
7572759,-4217,-2224,-16063,42000,42000,3.9483871459960938
7572769,-4214,-1910,-16202,42000,42000,3.9483871459960938
7572779,-4228,-1508,-16330,42000,42000,3.9483871459960938
7572789,-4245,-1116,-16496,42000,42000,3.9483871459960938
7572799,-4186,-829,-16597,42000,42000,3.9483871459960938
7572809,-4187,-366,-16744,42000,42000,3.9483871459960938
7572819,-4160,-43,-16861,42000,42000,3.9483871459960938
7572829,-4099,234,-16968,42000,42000,3.9483871459960938
7572839,-4083,622,-17107,42000,42000,3.9483871459960938
7572849,-3979,831,-17197,42000,42000,3.9483871459960938
7572859,-3838,1002,-17307,42000,42000,3.9483871459960938
7572869,-3662,1269,-17426,42000,42000,3.9483871459960938
7572879,-3404,1476,-17525,42000,42000,3.9483871459960938
7572889,-3019,1543,-17599,42000,42000,3.9483871459960938
7572899,-2513,1568,-17701,42000,42000,3.9483871459960938
7572909,-1902,1610,-17781,42000,42000,3.9483871459960938
7572919,-1242,1573,-17847,42000,42000,3.9483871459960938
7572929,-525,1360,-17902,42000,42000,3.9483871459960938
7572939,86,1196,-17974,42000,42000,3.9483871459960938
7572949,589,1062,-18056,42000,42000,3.9483871459960938
7572959,920,692,-18084,42000,42000,3.9483871459960938
7572969,985,397,-18162,42000,42000,3.9483871459960938
7572979,877,103,-18259,42000,42000,3.9483871459960938
7572989,700,-258,-18275,42000,42000,3.9483871459960938
7572999,572,-597,-18353,42000,42000,3.9483871459960938
7573009,462,-889,-18430,42000,42000,3.943108558654785
7573019,382,-1124,-18524,42000,42000,3.9483871459960938
7573029,349,-1364,-18604,42000,42000,3.9483871459960938
7573039,390,-1630,-18719,42000,42000,3.9483871459960938
7573049,477,-1902,-18775,42000,42000,3.9483871459960938
7573059,528,-2159,-18857,42000,42000,3.9483871459960938
7573069,480,-2360,-18923,42000,42000,3.943108558654785
7573079,411,-2515,-19016,42000,42000,3.9483871459960938
7573089,279,-2657,-19095,42000,42000,3.943108558654785
7573099,61,-2725,-19167,42000,42000,3.9483871459960938
7573109,-355,-2806,-19289,42000,42000,3.9483871459960938
7573119,-862,-2795,-19318,42000,42000,3.9483871459960938
7573129,-1470,-2715,-19352,42000,42000,3.9483871459960938
7573139,-2148,-2556,-19410,42000,42000,3.943108558654785
7573149,-2850,-2299,-19449,42000,42000,3.943108558654785
7573159,-3588,-1957,-19488,42000,42000,3.9483871459960938
7573169,-4317,-1527,-19488,42000,42000,3.943108558654785
7573179,-4985,-1018,-19469,42000,42000,3.943108558654785
7573189,-5606,-443,-19507,42000,42000,3.943108558654785
7573199,-6229,188,-19523,42000,42000,3.9483871459960938
7573209,-6818,851,-19505,42000,42000,3.943108558654785
7573219,-7391,1556,-19506,42000,42000,3.943108558654785
7573229,-7868,2317,-19492,42000,42000,3.943108558654785
7573239,-8170,3091,-19495,42000,42000,3.943108558654785
7573249,-8199,3889,-19538,42000,42000,3.9483871459960938
7573259,-7765,4674,-19629,42000,42000,3.943108558654785
7573269,-6890,5400,-19763,42000,42000,3.943108558654785
7573279,-5796,6092,-19859,42000,42000,3.9483871459960938
7573289,-4753,6613,-19986,42000,42000,3.943108558654785
7573299,-3858,7038,-20054,42000,42000,3.943108558654785
7573309,-3095,7297,-20116,42000,42000,3.943108558654785
7573319,-2417,7472,-20176,42000,42000,3.943108558654785
7573329,-1856,7524,-20234,42000,42000,3.943108558654785
7573339,-1351,7468,-20268,42000,42000,3.943108558654785
7573349,-880,7342,-20341,42000,42000,3.943108558654785
7573359,-396,7130,-20394,42000,42000,3.943108558654785
7573369,192,6859,-20447,42000,42000,3.943108558654785
7573379,953,6444,-20502,42000,42000,3.943108558654785
7573389,1862,5867,-20497,42000,42000,3.943108558654785
7573399,2775,5187,-20534,42000,42000,3.943108558654785
7573409,3587,4473,-20552,42000,42000,3.943108558654785
7573419,4184,3762,-20596,42000,42000,3.943108558654785
7573429,4645,3001,-20682,42000,42000,3.943108558654785
7573439,4987,2151,-20712,42000,42000,3.943108558654785
7573449,5194,1234,-20799,42000,42000,3.943108558654785
7573459,5258,283,-20885,42000,42000,3.943108558654785
7573469,5142,-599,-20973,42000,42000,3.943108558654785
7573479,4891,-1393,-21056,42000,42000,3.943108558654785
7573489,4459,-2081,-21159,42000,42000,3.943108558654785
7573499,3688,-2640,-21258,42000,42000,3.943108558654785
7573509,2575,-3085,-21300,42000,42000,3.943108558654785
7573519,1118,-3331,-21321,42000,42000,3.943108558654785
7573529,-378,-3342,-21254,42000,42000,3.943108558654785
7573539,-1638,-3190,-21266,42000,42000,3.943108558654785
7573549,-2698,-2953,-21297,42000,42000,3.943108558654785
7573559,-3685,-2586,-21301,42000,42000,3.943108558654785
7573569,-4719,-1978,-21300,42000,42000,3.943108558654785
7573579,-5748,-1233,-21269,42000,42000,3.943108558654785
7573589,-6657,-481,-21219,42000,42000,3.943108558654785
7573599,-7350,257,-21240,42000,42000,3.943108558654785
7573609,-7889,1137,-21236,42000,42000,3.943108558654785
7573619,-8118,2160,-21263,42000,42000,3.943108558654785
7573629,-8118,2964,-21295,42000,42000,3.943108558654785
7573639,-7975,3905,-21387,42000,42000,3.943108558654785
7573649,-7567,4802,-21465,42000,42000,3.943108558654785
7573659,-6675,5451,-21562,42000,42000,3.943108558654785
7573669,-5394,6141,-21640,42000,42000,3.943108558654785
7573679,-3971,6597,-21724,42000,42000,3.943108558654785
7573689,-2544,6713,-21760,42000,42000,3.943108558654785
7573699,-1156,6723,-21806,42000,42000,3.943108558654785
7573709,239,6598,-21799,42000,42000,3.943108558654785
7573719,1790,6125,-21761,42000,42000,3.943108558654785
7573729,3310,5468,-21713,42000,42000,3.943108558654785
7573739,4607,4680,-21706,42000,42000,3.943108558654785
7573749,5663,3796,-21679,42000,42000,3.943108558654785
7573759,6485,2843,-21647,42000,42000,3.943108558654785
7573769,7246,1726,-21588,42000,42000,3.943108558654785
7573779,7928,537,-21560,42000,42000,3.943108558654785
7573789,8508,-746,-21495,42000,42000,3.943108558654785
7573799,8850,-1979,-21490,42000,42000,3.943108558654785
7573809,8953,-3227,-21484,42000,42000,3.943108558654785
7573819,8694,-4493,-21520,42000,42000,3.943108558654785
7573829,7884,-5938,-21574,42000,42000,3.9378299713134766
7573839,6890,-6880,-21655,42000,42000,3.9378299713134766
7573849,5477,-7717,-21716,42000,42000,3.943108558654785
7573859,4065,-8351,-21832,42000,42000,3.9378299713134766
7573869,2755,-8803,-21914,42000,42000,3.943108558654785
7573879,1489,-9019,-22018,42000,42000,3.943108558654785
7573889,66,-9077,-22116,42000,42000,3.943108558654785
7573899,-1338,-8943,-22187,42000,42000,3.943108558654785
7573909,-2749,-8643,-22272,42000,42000,3.9378299713134766
7573919,-4046,-8111,-22296,42000,42000,3.9378299713134766
7573929,-5129,-7397,-22446,42000,42000,3.943108558654785
7573939,-5957,-6510,-22546,42000,42000,3.943108558654785
7573949,-6689,-5544,-22667,42000,42000,3.943108558654785
7573959,-7394,-4497,-22770,42000,42000,3.943108558654785
7573969,-8086,-3333,-22872,42000,42000,3.9378299713134766
7573979,-8746,-2087,-22963,42000,42000,3.943108558654785
7573989,-9211,-829,-23059,42000,42000,3.9378299713134766
7573999,-9408,432,-23113,42000,42000,3.9378299713134766
7574009,-9318,1672,-23234,42000,42000,3.943108558654785
7574019,-8837,2709,-23415,42000,42000,3.943108558654785
7574029,-7558,3684,-23471,42000,42000,3.943108558654785
7574039,-5858,4197,-23570,42000,42000,3.943108558654785
7574049,-3994,4574,-23559,42000,42000,3.9378299713134766
7574059,-2229,4622,-23540,42000,42000,3.943108558654785
7574069,-599,4467,-23459,42000,42000,3.9378299713134766
7574079,841,4173,-23389,42000,42000,3.9378299713134766
7574089,2099,3727,-23366,42000,42000,3.9378299713134766
7574099,3280,3103,-23323,42000,42000,3.943108558654785
7574109,4287,2379,-23289,42000,42000,3.9378299713134766
7574119,5169,1620,-23286,42000,42000,3.9378299713134766
7574129,6198,648,-23301,42000,42000,3.9378299713134766
7574139,7252,-461,-23292,42000,42000,3.9378299713134766
7574149,8046,-1601,-23308,42000,42000,3.9378299713134766
7574159,8304,-2763,-23338,42000,42000,3.9378299713134766
7574169,7198,-3908,-23355,42000,42000,3.9378299713134766
